Designator,Mid X,Mid Y,Rotation,Layer
SW33,211.93125,-171.45,0.0,bottom
SW34,204.7875,-114.3,0.0,bottom
SW35,209.55,-133.35,0.0,bottom
SW36,219.075,-152.4,0.0,bottom
SW37,223.8375,-114.3,0.0,bottom
SW38,228.6,-133.35,0.0,bottom
SW39,238.125,-152.4,0.0,bottom
SW4,26.19375,-171.45,0.0,bottom
SW40,235.712,-171.45,0.0,bottom
SW41,242.8875,-114.3,0.0,bottom
SW42,247.65,-133.35,0.0,bottom
SW43,259.55625,-171.45,0.0,bottom
SW44,261.9375,-114.3,0.0,bottom
SW45,278.60625,-133.35,0.0,bottom
SW46,285.75,-171.45,0.0,bottom
SW47,285.75,-114.3,0.0,bottom
SW48,273.823056,-152.399872,0.0,bottom
SW49,328.6125,-114.3,0.0,bottom
SW5,52.3875,-114.3,0.0,bottom
SW50,328.6125,-133.35,0.0,bottom
SW51,328.6125,-152.4,0.0,bottom
SW52,328.6125,-171.45,0.0,bottom
SW53,347.6625,-114.3,0.0,bottom
SW54,347.6625,-133.35,0.0,bottom
SW55,347.6625,-152.4,0.0,bottom
SW56,347.6625,-171.45,0.0,bottom
SW57,366.7125,-114.3,0.0,bottom
SW58,366.7125,-133.35,0.0,bottom
SW59,366.7125,-152.4,0.0,bottom
SW6,57.15,-133.35,0.0,bottom
SW60,366.7125,-171.45,0.0,bottom
SW61,385.7625,-114.3,0.0,bottom
SW62,385.7625,-133.35,0.0,bottom
SW63,385.7625,-152.4,0.0,bottom
SW64,385.7625,-171.45,0.0,bottom
SW65,293.63,-156.476904,90.0,top
SW66,312.28874,-162.807904,270.0,bottom
SW67,307.33574,-162.807904,90.0,bottom
SW68,309.56224,-114.299904,0.0,top
SW7,66.675,-152.4,0.0,bottom
SW8,50.00625,-171.45,0.0,bottom
SW9,71.4375,-114.3,0.0,bottom
U1,306.98,-147.916904,90.0,bottom
U2,313.71324,-140.107904,270.0,bottom
U3,300.58824,-135.007904,90.0,bottom
U4,253.85,-149.29,270.0,bottom
Y1,309.98824,-157.657904,135.0,bottom
